GSM1333746,GSM1333747,GSM1333748,GSM1333749,GSM1333750,GSM1333751,GSM1333752,GSM1333753,GSM1333754,GSM1333755,GSM1333756,GSM1333757,GSM1333758,GSM1333759,GSM1333760,GSM1333761,GSM1333762,GSM1333763,GSM1333764,GSM1333765,GSM1333766,GSM1333767,GSM1333768,GSM1333769,GSM1333770,GSM1333771,GSM1333772,GSM1333773,GSM1333774,GSM1333775,GSM1333776,GSM1333777,GSM1333778,GSM1333779,GSM1333780,GSM1333781
60.241,54.9441,114.7452,12.5877,27.1497,40.5195,67.2948,54.8303,16.8014,16.2879,14.2745,57.4282,12.909,53.666,17.6701,31.1724,16.1017,47.0475,92.4321,89.6128,59.7836,43.6798,26.7284,9.2369,19.583,103.7058,22.9968,56.6018,84.382,22.1863,25.282,43.174,127.5552,89.8241,62.7828,34.7922
2.0356,10.9321,10.7514,1.3515,2.5857,10.5719,9.1654,7.3622,0,0,2.6053,1.3167,0,2.0521,10.8453,10.7572,0,0.6762,2.7405,2.0964,1.3515,2.5986,1.3666,2.0504,0,15.4187,0,0,0.6719,0,31.7491,2.5881,5.1605,19.6058,2.0178,0.6734
32.9489,25.2804,75.4305,15.7607,14.7569,15.2621,41.3817,34.276,6.7766,26.8607,44.6314,16.1866,22.3471,14.6387,5.53,17.2884,15.3178,26.0924,41.0351,45.726,29.7931,15.1418,17.889,10.282,16.3289,26.4234,20.6247,33.2344,21.7364,7.6117,15.8223,21.014,59.711,38.9469,50.7761,17.0315
44.0194,42.6958,22.6775,14.934,10.1599,25.1336,27.0051,28.7975,4.5018,10.0303,12.7758,21.0078,16.2285,32.3215,11.7573,18.1183,1.4957,19.7219,28.7214,32.8479,13.5401,10.994,10.5009,4.4912,2.7751,52.0986,13.3195,31.4978,49.5891,17.6572,11.1018,19.4976,97.2537,26.7148,30.9229,16.066
84.5478,70.0506,78.9109,50.549,48.2824,38.7555,53.6344,73.115,43.9763,28.0262,40.9132,84.952,36.2737,64.9845,120.3867,62.4922,36.1099,40.9003,144.4531,107.394,87.9242,108.4501,78.4355,23.796,43.1595,121.9457,44.8687,48.9663,67.3133,47.1695,57.7618,62.6213,64.8513,95.5572,63.0878,38.2655
2.9496,2.9006,4.2798,1.9589,1.9568,0,3.7972,1.9023,2.9368,0,0.9876,1.9124,1.9124,5.8275,0,3.9451,1.9507,0.9804,8.9101,4.7323,0.9799,2.951,3.9571,1.952,0.9799,0.9744,0,4.9135,0.875,2.8428,1.9561,1.4097,4.8352,5.9063,1.9488,1.9523
11.392,6.5857,25.7448,6.5427,8.7418,6.3878,23.7585,9.9846,1.6177,13.109,0,1.4007,0.5578,3.4056,10.076,6.8124,0,9.7316,6.1949,9.4804,0,3.444,0,2.7683,0,15.8801,3.5324,15.1971,18.0038,1.9548,3.9616,6.8308,30.2339,13.4662,10.8147,0
14.8986,11.1378,6.5242,0.9181,0,8.8858,17.8786,25.5817,5.784,2.2941,6.4841,9.0538,0.9347,2.3235,0,15.4466,2.4542,5.7554,15.9664,18.2461,2.4655,13.2205,6.4363,5.7258,16.9201,12.9981,6.4964,13.0611,10.6775,5.4304,7.2745,5.5748,45.2861,28.6097,37.314,6.5071
1390.6151,1463.9412,859.4312,1579.2337,1968.422,493.9956,1573.5849,1067.1089,1398.7939,4032.0361,3395.5348,466.7598,5846.8488,3574.0508,1789.0025,4808.8464,1295.1435,845.7367,11565.5594,2836.9532,1712.3162,4022.8119,2890.8439,1090.3513,2007.1891,1507.0529,988.6897,7156.6926,779.1123,1761.6489,2662.9419,2663.1801,5125.4392,2607.9707,2567.5777,4358.577
4.883,4.3643,3.1284,2.2173,1.1075,2.6997,4.1985,0.6351,0.6537,11.3761,6.7053,18.3126,12.2416,11.2358,2.2116,4.7868,0.6517,0,6.2477,17.5151,10.8838,6.1235,3.5643,2.2106,0,4.0302,5.0082,20.3306,6.5717,0.841,16.3169,3.1716,9.3703,10.1217,3.1133,5.0105
321.6132,236.3587,319.0819,15.391,33.1545,87.9689,176.2151,127.6268,28.5671,53.0264,37.0674,43.7737,56.2564,115.8462,48.9793,60.8751,47.5959,139.5457,557.8432,217.1849,83.5959,65.5398,55.0747,37.526,25.1518,312.9849,57.0151,85.3597,99.961,42.9205,92.4672,99.7587,284.7077,188.6016,163.0619,96.2452
71.3871,120.0041,58.6448,14.0469,128.662,418.2403,62.6172,12.7886,20.1819,136.1771,21.2459,143.9746,59.6393,449.1658,80.4993,77.867,223.0855,261.0796,269.3009,169.2464,48.2633,61.6027,15.9628,31.4937,25.7706,39.3054,99.4005,142.6821,217.4725,94.199,307.99,485.5556,378.252,108.2195,34.0639,29.1786
0,0,0,0,0,0,0,0,0,0,0,2.7299,0,0,0,0,0,0,0,0,1.2056,0,0,0.6013,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.6814,1.0893,0,0,0,6.3219,0,1.0961,0,0,1.3684,3.2117,0,3.1948,0,0.665,0,0.6709,0,0.6522,0,0,0,0.6621,1.8738,1.3743,0,0
0,0,0,0,0,0,0,0,0,0,4.3666,0,0.9003,0,0.8052,0.832,0,0,0.8062,0,0,0,0,0,0,0,0.7778,0,2.0931,0,0,0,0.7875,0,0,0
0,0.9735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.4613,11.3635,10.601,0.5729,2.6267,7.8256,2.7766,6.091,0,2.6397,6.6444,1.1192,11.18,3.9907,2.2853,3.7662,2.6408,2.639,8.1034,25.4667,5.2818,0,3.6573,1.1421,0.5731,5.2597,2.6224,2.8738,3.7873,3.6154,3.7823,8.0755,21.8518,21.2071,5.2171,2.6318
15.9772,30.0377,24.9565,9.7363,18.4506,17.2542,33.7062,26.8787,10.4259,19.3682,22.6339,12.1088,27.4028,12.0082,16.1024,14.2394,12.639,2.6962,46.5733,31.6809,25.4484,18.9842,16.8784,8.5032,11.2457,47.2403,11.5263,19.1652,30.1821,5.3661,24.1316,15.9486,26.1189,32.3551,44.7347,15.7597
25.6835,15.4069,60.2539,17.6119,0.7726,29.137,18.519,50.2724,15.7625,4.8272,33.1015,13.9389,28.738,13.3555,28.6254,17.7395,14.853,11.198,12.5827,25.4005,14.9156,15.9272,19.9258,13.4679,15.7524,38.8439,5.4832,22.9367,31.4092,7.9355,8.9492,35.6093,50.8138,56.7669,24.6568,15.0671
0,1.0449,0,0,0,0,0,0,0,0,0,0,0,0,2.199,0,0,1.166,1.5503,0,1.5353,0,0,1.0759,0,0,1.0438,0,0,0,0,2.9742,0,1.1964,0,0.7669
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.0615,31.5459,49.2483,9.049,4.5175,17.5419,32.9933,35.1487,4.5235,6.7981,10.3027,6.372,4.714,10.334,9.2794,14.0405,3.7067,25.1353,41.2689,57.9944,12.0997,11.3458,11.25,5.5665,4.6516,36.0872,2.2473,31.7104,12.0392,6.5142,12.0769,18.1404,87.859,40.1689,44.8536,16.6825
8.8603,10.9893,23.7638,1.3892,9.3782,3.6868,20.2417,6.0501,3.6515,5.9209,2.7217,1.3586,17.6043,14.4067,3.4651,6.5108,5.2024,2.4382,13.4322,11.1337,7.0098,14.5438,3.8806,3.909,0,9.0347,0.6868,17.8606,15.389,7.371,13.2069,2.4296,23.2935,8.1827,11.1229,7.2621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6448,21.6223,34.5835,4.3189,10.7858,13.1883,24.3325,6.5961,5.3959,21.1257,3.2654,17.6876,11.426,26.668,11.8457,20.2472,1.7214,8.6519,33.8173,46.8889,18.3674,14.0965,13.0818,12.4794,3.4591,36.564,15.9492,15.8263,45.299,9.7398,30.1981,8.6163,68.4925,30.234,37.6294,9.6857
1.6335,4.0061,3.2188,14.1158,1.6263,6.8903,4.7149,7.5605,0,1.6365,2.0996,0.7978,0,1.6408,0,2.4637,1.6147,5.681,10.0158,4.0001,1.6223,0,0.8193,3.245,0,4.0333,0.801,3.2544,2.4269,7.1964,8.096,5.5495,7.3078,5.5398,5.4582,0
32.3295,76.8146,114.7422,2.7751,12.5242,72.2796,67.0805,56.0906,5.5531,9.6163,9.0072,14.1338,12.5098,16.2471,8.0672,20.7372,6.4406,22.4474,62.0779,58.9477,26.9479,23.3721,18.8873,9.5555,4.4846,78.5376,23.0979,60.7996,40.2626,16.0757,13.4493,17.9293,119.5677,92.6631,118.6534,29.992
4.6386,2.3354,3.4509,1.1741,0,0,0.536,0.7913,0,3.5272,0,4.693,2.3647,1.1827,0,3.4522,0,1.6603,1.1776,3.8156,0,1.178,0,1.177,0,0,1.1653,1.1774,1.1737,1.1691,1.1758,6.9865,3.4388,5.8948,1.6483,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.8191,30.4715,12.6063,11.8447,19.2083,6.07,12.7261,9.5434,16.0126,16.7845,17.0047,9.5364,37.5091,28.7548,21.0358,34.019,28.0792,21.9325,133.2226,44.61,40.582,21.0507,32.9908,11.5918,22.5902,37.6066,3.9451,34.2097,25.4255,20.7206,27.228,30.9334,48.5731,23.0011,27.1613,19.9667
9.2739,15.4807,20.2087,0.9342,3.711,5.0884,8.9748,2.7067,2.7776,2.7842,3.7391,10.5351,8.0104,15.942,7.3991,5.5809,5.2547,2.4079,18.0037,13.6653,6.7083,4.8288,4.6696,6.5282,2.7716,12.9636,2.7357,2.8156,10.1154,2.7815,10.5347,3.6817,16.8903,21.3738,15.7137,3.7228
23.3593,18.025,16.9471,2.0244,9.0994,2.9316,12.1166,9.5189,5.0589,1.0124,6.1176,4.9585,15.3905,20.4532,14.1475,10.1911,4.0366,18.2461,26.5411,16.0461,6.0811,9.1467,4.7654,10.1043,1.013,29.3067,2.0029,16.247,3.1343,1.5768,2.0232,7.0748,49.5512,38.6481,15.0922,2.0183
0.791,0,5.164,0.7876,2.3606,0,5.0833,2.2945,0.7871,0,0,5.1445,0,1.5953,5.2337,2.3797,0,0,10.5477,1.5379,2.362,0.7912,0,1.567,5.2427,8.7548,0.7772,2.3711,6.2612,0,0.7858,0.7845,7.8581,3.9633,5.2033,0.7847
18.0483,8.5117,41.3323,4.0255,4.2162,18.1225,64.8436,20.5993,4.6359,8.9686,5.648,11.0661,21.6182,34.3326,29.5621,4.628,5.6349,3.9224,22.1719,6.7753,46.0039,23.5914,1.6856,1.4001,23.7001,31.6457,13.3738,28.3751,14.2932,6.4863,6.1184,9.8367,48.6736,39.3289,44.6076,17.6855
