GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
277.7687,276.0122,255.7579,287.4146,338.2325,239.66,327.8735,232.847
24.5988,23.3365,72.459,19.1416,83.367,34.552,81.8121,44.1321
0,0.9999,0,0,0,0,0,0
150.0875,237.0116,276.3312,232.4222,141.4346,75.2523,103.5769,128.7594
24.5184,201.1504,92.1275,145.2911,100.2699,49.5865,178.8268,49.6235
330.8423,330.214,420.2718,281.1941,541.1973,385.7606,389.4645,254.3777
307.5491,233.7691,352.552,95.7673,167.9938,170.4434,45.1435,218.6958
46.8694,44.3397,39.456,44.5104,59.1732,55.7245,165.8176,34.4846
335.9991,429.2759,474.126,396.4385,366.3305,271.8018,411.5768,310.727
1169.4166,1522.9226,1015.7406,1454.1251,1598.6418,1326.5247,1913.3794,1054.1042
1133.5783,1110.3802,1807.1767,1516.3667,1696.5465,1339.1999,1873.8728,1101.5616
635.8396,490.0791,562.3856,281.8198,330.265,268.5169,455.0973,284.6605
88.8775,180.7748,81.0276,106.7493,199.4421,253.9084,70.0697,209.9596
1547.2772,2193.976,2208.7182,2458.7455,1818.5973,1524.6653,1811.0418,1260.9051
635.4316,674.9531,953.2065,867.1619,780.7844,1121.5088,843.6835,736.9258
861.1877,796.2353,900.6183,358.5339,1224.4767,1186.8618,982.8983,1245.7517
1649.3959,1155.0869,1679.6711,801.9627,1734.5244,2398.2071,2075.4781,1349.2127
697.4128,211.3346,2060.2424,1119.0476,34.4584,15.2231,365.1639,168.9983
2703.4793,3042.6104,2623.7297,1474.4091,2702.0002,2630.7637,1966.0693,2668.4557
45.2207,68.1413,134.1137,37.3808,216.7383,130.3267,239.6927,131.8248
878.8866,640.035,566.3523,301.8765,1261.2768,1001.1802,867.3017,647.6079
5.6642,5.6587,2.8146,2.7763,8.469,4.2313,8.4882,27.7899
3.4447,2.4642,38.6646,3.2978,5.5086,5.3843,3.4633,5.8021
4420.6711,4384.6539,4582.3509,3856.0463,4139.5045,2972.455,4832.6554,3031.4956
235.7195,306.4296,308.4006,409.8221,299.7913,273.1109,215.6224,220.962
665.6458,454.2226,567.456,402.968,766.3816,708.3834,545.8226,597.7353
315.1677,319.8499,204.9225,791.7271,556.1631,463.9276,447.5948,337.8346
0,3.273,6.591,2.0125,3.5291,6.475,44.2138,2.0552
695.2361,617.4456,1020.9073,715.528,652.2613,731.0581,792.1493,370.1479
1003.5222,1201.4178,2137.7816,1229.3055,1392.2367,1512.7976,1939.2168,1201.5287
0,0,1.9855,0,0.9959,0,1.998,0.9939
0,0,0,0,0,0,0,0
23.6677,50.621,38.0068,20.4601,35.5252,45.4986,55.069,32.8395
1902.7003,1487.5985,1371.9042,664.2916,2487.4232,2452.2205,2051.6678,2204.0755
91.85,123.6196,120.8745,51.0446,305.9832,237.3284,178.8857,118.1526
2464.0645,2055.3989,1684.9773,1538.3269,2312.2656,2091.3394,2358.4544,1593.0928
1273.2917,1180.3879,1174.7333,565.8772,715.6924,366.4793,703.7304,691.6398
1857.9668,1916.2738,2234.3859,1196.3448,2604.7977,1944.6386,2982.7147,1255.5294
24.0883,49.6115,26.1823,588.029,33.4258,38.4815,61.15,41.7125
214.0689,243.9844,200.5562,110.8453,569.0736,431.1324,299.406,257.9545
13.122,14.5625,50.3694,49.9251,97.0873,5.1689,57.0298,36.3687
285.1343,255.8983,376.5282,300.0946,235.6716,223.1684,329.3924,133.3513
568.5066,937.8775,780.2363,711.5694,544.219,574.0612,405.121,603.3669
337.5339,949.6617,1506.9985,970.0238,2457.7765,269.0105,2356.2741,544.2851
511.1428,497.708,1150.4335,290.6996,516.2307,600.0807,399.9894,448.6637
0,3.0068,21.1085,46.3776,4.0286,11.9274,34.1783,2.966
2502.5321,2305.2956,2083.9246,1271.9912,3099.3274,4001.1442,2230.4181,3772.2127
8280.7934,4986.9085,6186.645,3076.3656,5745.937,8961.0447,6569.2427,6074.8635
85.0391,32.1113,535.619,825.0136,86.8738,226.328,560.3186,256.4729
1029.7645,868.8722,2413.3501,2731.2894,1894.4639,1047.671,1547.8443,1046.985
4830.0464,5215.0415,5601.0164,2753.7198,6475.3184,8347.858,6194.0549,7356.8962
16.3639,58.304,60.1104,35.1127,21.762,41.6707,65.201,28.9153
1905.308,1792.206,2216.8559,1831.1573,2312.075,2217.6376,1951.1592,2366.678
2292.096,1772.8993,3111.0701,1730.7588,2536.7061,2849.4315,3535.8966,2322.654
733.5944,859.5267,670.8771,350.1924,1104.234,947.0148,935.5335,677.0696
2426.6348,2440.2165,2320.3126,1530.5657,3440.1419,2884.2285,3418.0549,1938.6936
12473.542,15880.23,20140.8856,18047.4386,18574.8335,13652.275,24539.2691,13424.8958
21208.7048,22683.2307,18604.4285,10870.4578,29257.5526,25718.23,22629.1497,19480.7542
