Gene_ID,metap,metap.adjust,metafc,idx,Gene_Symbol,Gene_Description
296,8.55864135194481e-06,2.96656666409516e-05,-1.69709755922737,-8.60020339799543,,
81,6.10485618704429e-08,4.32975184958064e-07,1.17076975508317,8.44631300093516,ACTN4,actinin alpha 4
37,9.23880730205938e-06,3.12905504546072e-05,-1.67570998887946,-8.43616770926314,ACADVL,acyl-CoA dehydrogenase very long chain
84,1.03754086903056e-06,4.78306340623089e-06,1.40518952011825,8.40864676354989,,
62,2.48104056605846e-07,1.39482890360116e-06,1.25572407746258,8.29451729588916,,
93,1.49476168919138e-06,6.44004802539463e-06,1.40538501449029,8.18696927274982,ACVR2B,activin A receptor type 2B
262,4.95563904769079e-09,5.31290604880338e-08,0.979948781548512,8.13837696290431,AMD1,adenosylmethionine decarboxylase 1
53,1.11791247627118e-10,1.9821448136962e-09,0.813881377965372,8.09941557020381,ACP2,"acid phosphatase 2, lysosomal"
238,3.71745903659826e-09,4.76041282186611e-08,0.93689954625262,7.89783251806884,ALK,ALK receptor tyrosine kinase
792,5.84782943339948e-07,2.86792486042251e-06,-1.25524175691553,-7.82392852759282,,
23,3.49939298276794e-05,9.54568145003564e-05,1.75421764988094,7.81680662452407,ABCF1,ATP binding cassette subfamily F member 1
16,3.00173964985189e-05,8.38667865807103e-05,-1.71755597536697,-7.76786499069575,AARS1,alanyl-tRNA synthetase 1
127,2.19545610624123e-07,1.24951267281137e-06,1.16556182628442,7.76086456254643,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
94,7.33659763275072e-05,0.000181837177886994,1.81205688717834,7.49195880149929,ACVRL1,activin A receptor like type 1
19,9.35302896038144e-06,3.12905504546072e-05,1.4624407978797,7.35468456155545,ABCA1,ATP binding cassette subfamily A member 1
570,1.05183638960836e-07,6.46528767479273e-07,-1.04937634947874,-7.32260253306373,BAAT,bile acid-CoA:amino acid N-acyltransferase
52,1.31091202656456e-05,4.16779616721561e-05,-1.47831931269194,-7.21778531710737,ACP1,acid phosphatase 1
95,8.02272448765903e-06,2.83707326391367e-05,-1.41574301427583,-7.21417070402507,ACY1,aminoacylase 1
533,1.23472368276894e-09,1.72487156895904e-08,0.808287717005423,7.20057472602959,ATP6V0B,ATPase H+ transporting V0 subunit b
393,1.03555236860081e-08,9.94561754010359e-08,-0.895988028777331,-7.15431024039034,ARHGAP4,Rho GTPase activating protein 4
100,0.000199210163726471,0.000463817603423753,-1.92930415317858,-7.13975370731448,ADA,adenosine deaminase
191,4.63915374272181e-06,1.7387397360933e-05,1.33026101419234,7.09502857721509,AHCY,adenosylhomocysteinase
196,9.9523632545836e-08,6.20005332481492e-07,-0.991100807734383,-6.93976098007234,AHR,aryl hydrocarbon receptor
33,1.66631597863078e-08,1.44938050216753e-07,-0.888370871179375,-6.90996419134183,ACADL,acyl-CoA dehydrogenase long chain
54,0.00035649308979348,0.000747015065430882,1.91560281504935,6.60490058838861,ACP5,"acid phosphatase 5, tartrate resistant"
78,6.68274276521917e-07,3.24288885764846e-06,-1.04164040737757,-6.43217665560744,,
87,2.50099583262234e-08,2.0588554979266e-07,0.843506003717964,6.41223735101724,ACTN1,actinin alpha 1
145,1.00840721120797e-05,3.29699095295655e-05,1.27228272826385,6.35678769422967,,
57,1.28900692662475e-06,5.65935422070486e-06,-1.07883178887455,-6.35404386348074,,
259,4.2299096234705e-07,2.16665370713322e-06,-0.995300818220834,-6.34371788287428,AMBP,alpha-1-microglobulin/bikunin precursor
135,0.00013910825380886,0.00033575342935018,-1.63428853096995,-6.30287412506541,ADORA2A,adenosine A2a receptor
310,8.19720338092192e-08,5.47668225884783e-07,0.884078880339341,6.26487848436574,ANXA7,annexin A7
31,1.77661526047496e-07,1.02377454384869e-06,-0.905351410984447,-6.11149015069409,ACACA,acetyl-CoA carboxylase alpha
324,8.03075995506427e-09,8.04821812887963e-08,-0.751043477072258,-6.07987971728057,APC,APC regulator of WNT signaling pathway
89,1.32376993136525e-05,4.17984889287247e-05,-1.23981080909386,-6.04802957625103,ACTN3,actinin alpha 3
342,2.60272365930674e-07,1.44560916498844e-06,0.903853595844907,5.95148902513819,,
131,9.43467790279914e-06,3.12905504546072e-05,1.17554833375081,5.90745121002397,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
0,0.0083636534187164,0.0115785111892741,2.76221441631334,5.73878764340821,,
146,4.1748702049914e-07,2.16665370713322e-06,0.898827712862201,5.73394288162329,ADRA1D,adrenoceptor alpha 1D
82,0.000514201776720292,0.00101736918054959,1.73582564351947,5.70889868222491,,
65,4.57930092463315e-05,0.0001233246372846,1.30410246449826,5.65876247844285,,
20,1.49645653134368e-08,1.3266662710566e-07,0.72106285617151,5.64227062501942,ABCA2,ATP binding cassette subfamily A member 2
