Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
1743,1,1.42904705116137,0.901667291068741,1.956426811254,1.09062949261119e-07,0,1,28.2060532592959,1.09062949261119e-07,FALSE,5.81010519569801e-06,89,DLST,dihydrolipoamide S-succinyltransferase
1059,1,1.35816170494181,0.872787687068889,1.84353572281473,4.15055151053603e-08,0,1,30.077801865309,4.15055151053604e-08,FALSE,2.62781792510813e-06,90,CENPB,centromere protein B
5609,1,7.59970876499379,3.16741790675046,12.0319996232371,0.000777734460951058,0,1,11.2936305617856,0.000777734460951059,FALSE,0.00667665261816459,91,MAP2K7,mitogen-activated protein kinase kinase 7
760,-1,-1.42836516941056,-1.96292100959359,-0.893809329227533,1.63083133784793e-07,0,1,27.4276454895076,1.63083133784793e-07,FALSE,7.77426891877624e-06,92,CA2,carbonic anhydrase 2
648,1,1.45597375678171,0.903305551446067,2.00864196211735,2.42482785478755e-07,0,1,26.6608698641311,2.42482785478755e-07,FALSE,1.06235981250266e-05,93,BMI1,"BMI1 proto-oncogene, polycomb ring finger"
843,-1,-1.71492302290184,-2.43510333311491,-0.99474271268877,3.05410858716592e-06,0,1,21.7822609495103,3.05410858716594e-06,FALSE,8.59392221888633e-05,94,CASP10,caspase 10
18,2,1.38113242560079,0.868505335487937,1.89375951571365,1.28773589027639e-07,0.848855283618532,0.356876374276216,27.8845550618875,1.28773589027639e-07,FALSE,6.57391041555241e-06,95,ABAT,4-aminobutyrate aminotransferase
7404,-1,-1.47840244840467,-2.06328432632813,-0.89352057048121,7.26324632371689e-07,0,1,24.5439918261786,7.26324632371688e-07,FALSE,2.581638079272e-05,96,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
1196,1,1.63850048520065,0.947267383367431,2.32973358703387,3.38592086647665e-06,0,1,21.584414660385,3.38592086647665e-06,FALSE,9.39708996641328e-05,97,CLK2,CDC like kinase 2
23,2,1.7605032666738,0.989947963039522,2.53105857030808,7.53564333080433e-06,0.00173635703279234,0.966762074540413,20.0522090949706,7.53564333080433e-06,FALSE,0.000186185529124507,98,ABCF1,ATP binding cassette subfamily F member 1
505,1,1.39160461183666,0.858632351156789,1.92457687251653,3.09583195609263e-07,0,1,26.1889863014038,3.09583195609264e-07,FALSE,1.29322794701931e-05,99,,
685,1,1.45844298815314,0.881106328461894,2.03577964784439,7.37661437495704e-07,0,1,24.5141492184043,7.37661437495703e-07,FALSE,2.59913403889791e-05,100,BTC,betacellulin
