Gene_ID,ENSEMBL,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
16.3639,16,AARS1,alanyl-tRNA synthetase 1,protein_coding,43.4864228512996,-0.505850735942435,0.659372426308501,-0.767169987338479,0.44298045466669,0.762804031187369
733.5944,733,C8G,complement C8 gamma chain,protein_coding,765.543717565442,0.18745114692649,0.205839668943486,0.910665800662341,0.362471488812137,0.707341123277833
43.8163,43,ACHE,acetylcholinesterase (Yt blood group),protein_coding,24.2012937702773,-0.357738900684385,1.06523585560972,-0.335830697775023,0.73699853975475,0.912788915866376
30.9293,30,ACAA1,acetyl-CoA acyltransferase 1,protein_coding,55.309300258555,0.600317975008195,0.443531697340795,1.35349509089748,0.175897517283419,0.520376190646093
414.6032,414,ARSD,arylsulfatase D,protein_coding,379.730654032432,0.182203026013423,0.233681135011349,0.779707895567067,0.43556283036521,0.757958285161203
27.941,27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",protein_coding,124.671779389401,1.49149764147898,0.505895802474642,2.94823090878232,0.00319598244946771,0.0478556319407138
551.1542,551,AVP,arginine vasopressin,protein_coding,725.9057768286,-0.166816814842229,0.200498099345157,-0.832011951170941,0.405402198701686,0.737841511017996
943.415,943,TNFRSF8,TNF receptor superfamily member 8,protein_coding,798.841066934023,-0.145488617078185,0.254440864818379,-0.571797369035181,0.56745925992133,0.832319089779782
226.1223,226,ALDOA,"aldolase, fructose-bisphosphate A",protein_coding,321.551604008271,-0.533323951851739,0.635307726943239,-0.83947342245908,0.401203697323182,0.734380370845839
1736.7055,1736,DKC1,dyskerin pseudouridine synthase 1,protein_coding,1937.86863073702,0.239841951705242,0.202207167955519,1.1861199290324,0.235574941337424,0.595390027928609
1132.2443,1132,CHRM4,cholinergic receptor muscarinic 4,protein_coding,1172.80165145997,-0.0437722348834971,0.174645363531945,-0.250634966759312,0.802096344837454,0.935350942055364
32.7117,32,ACACB,acetyl-CoA carboxylase beta,protein_coding,29.4481820923095,-0.498018684984591,0.816862050348016,-0.609672936541017,0.542078485613948,0.819665626014213
187.5395,187,APLNR,apelin receptor,protein_coding,201.494132609053,-0.083854007781181,0.284532578149232,-0.294707932309956,0.768217003067446,0.924763031321324
686.2974,686,BTD,biotinidase,protein_coding,763.017867667286,-0.376971169403052,0.214059580624468,-1.76105721735663,0.0782287191929728,0.348656602844979
570.8798,570,BAAT,bile acid-CoA:amino acid N-acyltransferase,protein_coding,632.805714163634,0.0425104489313001,0.258049146305249,0.164737801073808,0.869150362492344,0.958649580212786
2913.2182,2913,GRM3,glutamate metabotropic receptor 3,protein_coding,2395.78962174823,0.0317247769315282,0.161609061191219,0.196305681733965,0.844370914532435,0.950690027773146
1112.1807,1112,FOXN3,forkhead box N3,protein_coding,937.056679879263,-0.129717309743123,0.220618482432586,-0.587971181348146,0.556551636546767,0.826652659095038
2687.0708,2687,GGT5,gamma-glutamyltransferase 5,protein_coding,3049.9355083944,0.316504197788559,0.218170872010707,1.45071702226605,0.146858673501035,0.478754424309291
590.8129,590,BCHE,butyrylcholinesterase,protein_coding,764.656503033054,0.339187993043687,0.260953215363006,1.29980384634023,0.193668206896225,0.544991146013612
983.2855,983,CDK1,cyclin dependent kinase 1,protein_coding,1084.00413477688,0.196903207325779,0.293919351656131,0.669922569631089,0.502907151339383,0.798495495615596
2533.2653,2533,FYB1,FYN binding protein 1,protein_coding,3185.09999437823,0.16663445033137,0.220627909559159,0.755273667163531,0.450084795311549,0.766759218612025
4099.9439,4099,MAG,myelin associated glycoprotein,protein_coding,5100.63113913215,-0.650460522296816,0.233026243603595,-2.79136166054896,0.00524867890229053,0.0678235797593485
107.7336,107,ADCY1,adenylate cyclase 1,protein_coding,89.8188414484111,0.900813197752866,0.554328568744702,1.62505280900963,0.104151306952384,0.408199233412569
240.816,240,ALOX5,arachidonate 5-lipoxygenase,protein_coding,234.50907587564,0.0759093976181981,0.272651224131267,0.278412091711908,0.780696038466399,0.92989194254842
334.8326,334,APLP2,amyloid beta precursor like protein 2,protein_coding,384.123477618394,-0.309089428047763,0.254052617499751,-1.21663547925487,0.223742937508976,0.581102222218057
119.8737,119,ADD2,adducin 2,protein_coding,140.342475174492,0.379867821715253,0.500122727865033,0.759549207725203,0.447524089773259,0.76628477225014
957.2683,957,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive),protein_coding,829.253779602447,0.0515399940593756,0.302476991057094,0.170393106197117,0.864700993324773,0.957289445233405
41.6713,41,ASIC1,acid sensing ion channel subunit 1,protein_coding,54.2672915005832,0.0404153831828316,0.732664542862262,0.0551621933619757,0.956009248378941,0.988384705640026
1135.868,1135,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit,protein_coding,1214.81506853454,-0.335608580500688,0.207837235702283,-1.61476637892467,0.106361296576262,0.411978065023098
176.5588,176,ACAN,aggrecan,protein_coding,158.777580660441,0.0374604501170543,0.448508550158035,0.083522265303203,0.933436274092025,0.980994298012369
10111.5438,10111,RAD50,RAD50 double strand break repair protein,protein_coding,7731.2959055808,-0.0849218064783066,0.236173280169085,-0.359574150037244,0.719165617601267,0.90482865301724
